trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,polygon.started,target.started,mouse.started,target_2.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
37,0,37,0,3,180.3876278,180.3876278,0.0444181,180.3876278,0.329427083,0.26953125,1,0,0,2.8311476,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
38,0,38,0,5,183.293003,183.293003,0.0623832,183.293003,-0.393229167,0.403645833,1,0,0,3.4192986,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
39,0,39,0,5,186.7218308,186.7218308,0.0649926,186.7218308,0.35546875,-0.05859375,1,0,0,7.9801231,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
40,0,40,0,5,194.7200104,194.7200104,0.0628084,194.7200104,0.438802083,0.361979167,1,0,0,3.9848411,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
41,0,41,0,5,198.8239211,198.8239211,0.1622747,198.8239211,0.192708333,0.173177083,1,0,0,2.8109251,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
42,0,42,0,5,201.5940743,201.5940743,0.0860435,201.5940743,0.17578125,-0.264322917,1,0,0,20.103015,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
43,0,43,0,5,221.6918721,221.6918721,0.054723,221.6918721,-0.283854167,-0.329427083,1,0,0,3.4646232,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
44,0,44,0,5,225.1749525,225.1749525,0.0601284,225.1749525,-0.1328125,-0.040364583,1,0,0,2.5242996,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
45,0,45,0,3,227.7065433,227.7065433,0.0480657,227.7065433,-0.3125,0.377604167,1,0,0,5.1996191,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
46,0,46,0,3,232.934143,232.934143,0.038197,232.934143,-0.161458333,-0.4375,1,0,0,7.5930734,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
47,0,47,0,5,240.5831277,240.5831277,0.0776099,240.5831277,0.0078125,-0.014322917,1,0,0,9.964552,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
48,0,48,0,3,250.5419049,250.5419049,0.0447812,250.5419049,-0.235677083,-0.2890625,1,0,0,5.118578,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
49,0,49,0,5,255.710491,255.710491,0.0621079,255.710491,0.177083333,-0.354166667,1,0,0,4.7685325,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
